Name,assetId,isManaged,monitorDate,monitorDate2,lastScanDate,discoveryDate,dutyCycle,ipAddress,isColor,manufacturer,modelName,ppmBlack,ppmColor,serialNumber,tonerLevelBlack,tonerLevelCyan,tonerLevelMagenta,tonerLevelYellow,pageCoverageMonochrome,pageCoverageCyan,pageCoverageMagenta,pageCoverageYellow,startMeterLife,endMeterLife,startMeterBlack,endMeterBlack,startMeterColor,endMeterColor,startMeterPrintBlack,endMeterPrintBlack,startMeterPrintColor,endMeterPrintColor,startMeterCopyBlack,endMeterCopyBlack,startMeterCopyColor,endMeterCopyColor,startMeterScan,endMeterScan,startMeterFax,endMeterFax
LaserJet 4050 Series,10.139.1.10,TRUE,8/16/2013 - 11/14/2013,30,11/14/2013 11:54 AM,06/11/2013 12:00,65000,10.139.1.105,Mono,HP,LaserJet 4050,17,,USQA020500,0%,,,,,,,,119734,119764,119734,119764,,,,,,,,,,,,,,
LaserJet 4100 Series,,TRUE,8/16/2013 - 11/14/2013,130,11/14/2013 11:54 AM,06/11/2013 12:00,150000,10.139.40.18,Mono,HP,LaserJet 4100,25,,USBDF02655,25%,,,,,,,,83692,83822,83692,83822,,,,,,,,,,,,,,
LaserJet 5,,TRUE,8/16/2013 - 11/14/2013,3410,11/14/2013 11:54 AM,06/11/2013 12:00,,10.139.1.131,Mono,HP,Monochrome Device,,,S4601LF3NRY,OK,,,,,,,,207582,210992,207582,210992,,,,,,,,,,,,,,
LaserJet 5,,TRUE,8/16/2013 - 11/14/2013,0,8/16/2013 5:28 PM,8/16/2013 4:25 PM,,10.139.3.38,Mono,HP,Monochrome Device,,,S4601LD7EGV,OK,,,,,,,,241860,241860,241860,241860,,,,,,,,,,,,,,
LaserJet 5000 Series,10.139.1.15-3217,TRUE,8/16/2013 - 11/14/2013,6786,11/14/2013 11:54 AM,06/11/2013 12:00,65000,10.139.1.150,Mono,HP,Laserjet 5000,16,,USC1013217,OK,,,,,,,,613537,620323,613537,620323,,,,,,,,,,,,,,
LaserJet 5200,10.139.3.96,TRUE,8/16/2013 - 11/14/2013,2938,11/14/2013 11:54 AM,06/11/2013 12:00,65000,10.139.3.96,Mono,HP,LaserJet 5200,35,,CNBXC07013,74%,,,,,,,,155269,158207,155269,158207,,,155244,158182,,,,,,,,,,
LaserJet 5200,10.139.1.93,TRUE,8/16/2013 - 11/14/2013,8672,11/14/2013 11:54 AM,06/11/2013 12:00,65000,10.139.1.93,Mono,HP,LaserJet 5200,35,,CNGXC31081,97%,,,,,,,,44801,53473,44801,53473,,,44789,53459,,,,,,,,,,
LaserJet 5Si,10.139.1.109,TRUE,8/16/2013 - 11/14/2013,1,11/14/2013 11:54 AM,06/11/2013 12:00,100000,10.139.1.109,Mono,HP,LaserJet 5Si,24,,USDK002762,OK,,,,,,,,1131695,1131696,1131695,1131696,,,,,,,,,,,,,,
LaserJet 5Si,10.139.3.8,TRUE,8/16/2013 - 11/14/2013,28,11/14/2013 11:54 AM,06/11/2013 12:00,100000,10.139.1.138,Mono,HP,LaserJet 5Si,24,,AAXXYY9999,OK,,,,,,,,81763,81791,81763,81791,,,,,,,,,,,,,,
LaserJet 8000 Series,10.139.3.6,TRUE,8/16/2013 - 11/14/2013,2268,11/14/2013 11:54 AM,06/11/2013 12:00,130000,10.139.3.6,Mono,HP,LaserJet 8000,24,,USBB054607,OK,,,,,,,,1196187,1198455,1196187,1198455,,,,,,,,,,,,,,
LaserJet 8000 Series,10.139.3.25,TRUE,8/16/2013 - 11/14/2013,215,11/14/2013 11:54 AM,06/11/2013 12:00,130000,10.139.3.25,Mono,HP,LaserJet 8000,24,,USBB009701,OK,,,,,,,,1289488,1289703,1289488,1289703,,,,,,,,,,,,,,
LaserJet 8000 Series,10.139.3.13,TRUE,8/16/2013 - 11/14/2013,12570,11/14/2013 11:54 AM,06/11/2013 12:00,130000,10.139.3.13,Mono,HP,LaserJet 8000,24,,USDG048466,0%,,,,,,,,1142780,1155350,1142780,1155350,,,,,,,,,,,,,,
LaserJet 8000 Series,10.139.3.43,TRUE,8/16/2013 - 11/14/2013,921,11/14/2013 11:54 AM,06/11/2013 12:00,130000,10.139.3.43,Mono,HP,LaserJet 8000,24,,USBB022657,OK,,,,,,,,813507,814428,813507,814428,,,,,,,,,,,,,,
LaserJet 8000 Series,10.139.3.83,TRUE,8/16/2013 - 11/14/2013,0,6/22/2013 1:25 PM,06/11/2013 12:00,130000,10.139.3.83,Mono,HP,LaserJet 8000,24,,USCB018650,OK,,,,,,,,842003,842003,842003,842003,,,,,,,,,,,,,,
LaserJet 8000 Series,,TRUE,8/16/2013 - 11/14/2013,4171,11/14/2013 11:54 AM,06/11/2013 12:00,130000,10.139.1.132,Mono,HP,LaserJet 8000,24,,USBC080265,OK,,,,,,,,644633,648804,644633,648804,,,,,,,,,,,,,,
LaserJet 8000 Series,10.139.1.11,TRUE,8/16/2013 - 11/14/2013,0,11/14/2013 11:54 AM,06/11/2013 12:00,130000,10.139.1.115,Mono,HP,LaserJet 8000,24,,USHH011313,0%,,,,,,,,449012,449012,449012,449012,,,,,,,,,,,,,,
