Name,assetId,isManaged,monitorDate,monitorDate2,lastScanDate,discoveryDate,dutyCycle,ipAddress,isColor,manufacturer,modelName,ppmBlack,ppmColor,serialNumber,tonerLevelBlack,tonerLevelCyan,tonerLevelMagenta,tonerLevelYellow,pageCoverageMonochrome,pageCoverageCyan,pageCoverageMagenta,pageCoverageYellow,startMeterLife,endMeterLife,startMeterBlack,endMeterBlack,startMeterColor,endMeterColor,startMeterPrintBlack,endMeterPrintBlack,startMeterPrintColor,endMeterPrintColor,startMeterCopyBlack,endMeterCopyBlack,startMeterCopyColor,endMeterCopyColor,startMeterScan,endMeterScan,startMeterFax,endMeterFax
LaserJet 600 M602,,TRUE,8/17/2013 - 11/15/2013,3404,11/15/2013 1:04 AM,05/09/2013 14:24,,10.8.43.41,Mono,HP,Monochrome Device,,,CNCCF1F348,51%,,,,,,,,3691,7095,3691,7095,,,3691,7095,,,,,,,,,,
LaserJet 600 M602,,TRUE,8/17/2013 - 11/15/2013,4956,11/15/2013 1:04 AM,07/10/2013 17:11,,10.8.43.15,Mono,HP,Monochrome Device,,,CNCCF4X058,41%,,,,,,,,1368,6324,1368,6324,,,1367,6323,,,,,,,,,,
LaserJet 9040,,TRUE,8/17/2013 - 11/15/2013,24146,11/15/2013 1:04 AM,05/09/2013 14:24,300000,10.8.42.15,Mono,HP,LaserJet 9040,40,,JPRL85X02Y,38%,,,,,,,,491560,515706,491560,515706,,,491550,515696,,,,,,,,,,
LaserJet P2015 Series,,TRUE,8/17/2013 - 11/15/2013,1803,11/15/2013 1:04 AM,05/09/2013 14:24,15000,10.8.42.33,Mono,HP,LaserJet P2015,27,,CNBJN38344,86%,,,,,,,,64445,66248,64445,66248,,,,,,,,,,,,,,
LaserJet P2055dn,,TRUE,8/17/2013 - 11/15/2013,1027,11/15/2013 1:04 AM,05/09/2013 14:24,5000,10.8.42.12,Mono,HP,LaserJet P2055dn,35,,VNB3T04013,79%,,,,,,,,9831,10858,9831,10858,,,,,,,,,,,,,,
LaserJet P2055dn,,TRUE,8/17/2013 - 11/15/2013,160,11/15/2013 1:04 AM,05/09/2013 14:24,5000,10.8.43.10,Mono,HP,LaserJet P2055dn,35,,CNBJ657398,34%,,,,,,,,1093,1253,1093,1253,,,,,,,,,,,,,,
LaserJet P2055dn,,TRUE,8/17/2013 - 11/15/2013,3219,11/15/2013 1:04 AM,05/09/2013 14:24,5000,10.8.43.26,Mono,HP,LaserJet P2055dn,35,,CNBJ621281,35%,,,,,,,,24450,27669,24450,27669,,,,,,,,,,,,,,
LaserJet P2055dn,,TRUE,8/17/2013 - 11/15/2013,1545,11/15/2013 1:04 AM,05/09/2013 14:24,5000,10.8.43.28,Mono,HP,LaserJet P2055dn,35,,CNB9743179,7%,,,,,,,,19420,20965,19420,20965,,,,,,,,,,,,,,
LaserJet P2055x,,TRUE,8/17/2013 - 11/15/2013,5290,11/15/2013 1:04 AM,05/09/2013 14:24,50000,10.8.42.26,Mono,HP,LaserJet P2055x,35,,CNBJ625792,7%,,,,,,,,40868,46158,40868,46158,,,,,,,,,,,,,,
LaserJet P3005,,TRUE,8/17/2013 - 11/15/2013,5660,11/15/2013 1:04 AM,05/09/2013 14:24,100000,10.8.42.40,Mono,HP,LaserJet P3005,35,,CND1F35234,98%,,,,,,,,101031,106691,101031,106691,,,101030,106691,,,,,,,,,,
LaserJet P3005,,TRUE,8/17/2013 - 11/15/2013,2624,11/15/2013 1:04 AM,05/09/2013 14:24,100000,10.8.43.11,Mono,HP,LaserJet P3005,35,,CNJ1D50710,11%,,,,,,,,107208,109832,107208,109832,,,107178,109802,,,,,,,,,,
LaserJet P4015,,TRUE,8/17/2013 - 11/15/2013,9302,11/15/2013 1:04 AM,05/09/2013 14:24,225000,10.8.42.16,Mono,HP,LaserJet P4015,52,,CNDY903229,25%,,,,,,,,211871,221173,211871,221173,,,211851,221153,,,,,,,,,,
LaserJet P4015,,TRUE,8/17/2013 - 11/15/2013,866,11/15/2013 1:04 AM,05/09/2013 14:24,225000,10.8.42.17,Mono,HP,LaserJet P4015,52,,JPDF216010,24%,,,,,,,,77499,78365,77499,78365,,,77489,78355,,,,,,,,,,
LaserJet P4015,,TRUE,8/17/2013 - 11/15/2013,10749,11/15/2013 1:04 AM,05/09/2013 14:24,225000,10.8.42.19,Mono,HP,LaserJet P4015,52,,JPDF216654,94%,,,,,,,,216381,227130,216381,227130,,,216251,227000,,,,,,,,,,
LaserJet P4015,,TRUE,8/17/2013 - 11/15/2013,13790,11/15/2013 1:04 AM,05/09/2013 14:24,225000,10.8.42.29,Mono,HP,LaserJet P4015,52,,CNDY808564,19%,,,,,,,,243587,257377,243587,257377,,,243537,257327,,,,,,,,,,
LaserJet P4015,,TRUE,8/17/2013 - 11/15/2013,0,11/15/2013 1:04 AM,05/09/2013 14:24,225000,10.8.42.41,Mono,HP,LaserJet P4015,52,,CNDY246099,1%,,,,,,,,10870,10870,10870,10870,,,10860,10860,,,,,,,,,,
LaserJet P4015,,TRUE,8/17/2013 - 11/15/2013,14199,11/15/2013 1:04 AM,05/09/2013 14:24,225000,10.8.43.14,Mono,HP,LaserJet P4015,52,,CNDYC50345,25%,,,,,,,,81631,95830,81631,95830,,,81610,95810,,,,,,,,,,
LaserJet P4015,,TRUE,8/17/2013 - 11/15/2013,3405,11/15/2013 1:04 AM,05/09/2013 14:24,225000,10.8.43.42,Mono,HP,LaserJet P4015,52,,CNDY258525,5%,,,,,,,,68478,71883,68478,71883,,,68468,71873,,,,,,,,,,
LaserJet P4015,,TRUE,8/17/2013 - 11/15/2013,10751,11/15/2013 1:04 AM,05/09/2013 14:24,225000,10.8.43.47,Mono,HP,LaserJet P4015,52,,CNDY933299,77%,,,,,,,,99434,110185,99434,110185,,,99434,110185,,,,,,,,,,
TASKalfa 3550ci,E2721,TRUE,8/17/2013 - 11/15/2013,0,06/04/2013 12:34,05/09/2013 14:24,175000,10.8.42.50,Color,KYOCERA,TASKalfa 3550ci,35,35,N2J3103248,47%,93%,94%,95%,,,,,11720,11720,10707,10707,1013,1013,1566,1566,1001,1001,9141,9141,12,12,11683,11683,,
TASKalfa 3550ci,E2719,TRUE,8/17/2013 - 11/15/2013,0,06/04/2013 12:34,05/09/2013 14:24,175000,10.8.43.53,Color,KYOCERA,TASKalfa 3550ci,35,35,N2J3103253,41%,95%,95%,95%,,,,,12605,12605,11279,11279,1326,1326,5543,5543,1241,1241,5736,5736,85,85,8065,8065,,
TASKalfa 4550ci,E1735,TRUE,8/17/2013 - 11/15/2013,0,06/04/2013 12:34,05/09/2013 14:24,200000,10.8.42.48,Color,KYOCERA,TASKalfa 4550ci,45,45,N2D1800860,47%,13%,26%,20%,,,,,77725,77725,45540,45540,32185,32185,22052,22052,27778,27778,23488,23488,4407,4407,33356,33356,,
TASKalfa 4550ci,E2720,TRUE,8/17/2013 - 11/15/2013,0,06/04/2013 12:34,05/09/2013 14:24,200000,10.8.43.54,Color,KYOCERA,TASKalfa 4550ci,45,45,NWS2900986,94%,98%,98%,98%,,,,,1733,1733,1132,1132,601,601,261,261,250,250,871,871,351,351,3914,3914,,
WorkCentre 5645 v1 Multifunction System,,TRUE,8/17/2013 - 11/15/2013,12302,11/15/2013 1:04 AM,05/09/2013 14:24,175000,10.8.43.23,Mono,XEROX,WorkCentre 5645,45,,WTD074312E,16%,,,,,,,,238087,250389,238087,250389,,,14009,15109,,,223998,235200,,,,,,
WorkCentre M20i  - Printer,,TRUE,8/17/2013 - 11/15/2013,1198,11/15/2013 1:04 AM,05/09/2013 14:24,20000,10.8.42.24,Mono,XEROX,WorkCentre M20,22,,RYU352987.......,42%,,,,,,,,47003,48201,47003,48201,,,,,,,,,,,,,,
