StartDate,EndDate,printermodelid,devicename,ipaddress,Serialnumber,ModelName,Manufacturer,ManagementStatus,is_color,is_copier,is_scanner,is_fax,PPM_Black,PPM_Color,DateIntroduction,DateAdoption,DiscoveryDate,BLACK_ProdCodeOEM,BLACK_Yield,BLACK_ProdCostOEM,CYAN_ProdCodeOEM,CYAN_Yield,CYAN_ProdCostOEM,MAGENTA_ProdCodeOEM,MAGENTA_Yield,MAGENTA_ProdCostOEM,YELLOW_ProdCodeOEM,YELLOW_Yield,YELLOW_ProdCostOEM,DUTY_CYCLE,WattsPowerNormal,WattsPowerIdle,StartMeterLife,EndMeterLife,StartMeterBlack,EndMeterBlack,StartMeterColor,EndMeterColor,StartMeterPrintBlack,EndMeterPrintBlack,StartMeterPrintColor,EndMeterPrintColor,StartMeterCopyBlack,EndMeterCopyBlack,StartMeterCopyColor,EndMeterCopyColor,StartMeterScan,EndMeterScan,StartMeterFax,EndMeterFax,Start11x7,End11x7,TonerLevel_Black,TonerLevel_Cyan,TonerLevel_Magenta,TonerLevel_Yellow,Black Coverage,Cyan Coverage,Magenta Coverage,Yellow Coverage,
12/1/2013 12:00:00 AM,1/1/2014 12:00:00 AM,21574,HP LaserJet P2015 Series D01E,10.0.208.30,CNBJS93634,Hewlett-Packard LaserJet P2015d,Hewlett-Packard,Managed,False,False,False,False,27,,,,9/29/2011 12:38:17 PM,Q7553A,3000,,,,,,,,,,,15000,350,7,92748,95172,92748,95172,,,,,,,,,,,,,,,,,41.5%,,,,1.93,,,,
12/1/2013 12:00:00 AM,1/1/2014 12:00:00 AM,21574,HP LaserJet P2015 Series D022,10.0.208.34,CNBJR52564,Hewlett-Packard LaserJet P2015d,Hewlett-Packard,Managed,False,False,False,False,27,,,,9/29/2011 12:38:17 PM,Q7553A,3000,,,,,,,,,,,15000,350,7,5372,5539,5372,5539,,,,,,,,,,,,,,,,,53.5%,,,,3.95,,,,
12/1/2013 12:00:00 AM,1/1/2014 12:00:00 AM,21574,HP LaserJet P2015 Series F41E,10.0.244.30,CNBJL51788,Hewlett-Packard LaserJet P2015d,Hewlett-Packard,Managed,False,False,False,False,27,,,,9/29/2011 12:38:27 PM,Q7553A,3000,,,,,,,,,,,15000,350,7,58257,60111,58257,60111,,,,,,,,,,,,,,,,,71.3%,,,,1.90,,,,
12/1/2013 12:00:00 AM,1/1/2014 12:00:00 AM,21574,HP LaserJet P2015 Series F427,10.0.244.39,CNBJM51687,Hewlett-Packard LaserJet P2015d,Hewlett-Packard,Managed,False,False,False,False,27,,,,9/29/2011 12:38:27 PM,Q7553A,3000,,,,,,,,,,,15000,350,7,25102,25107,25102,25107,,,,,,,,,,,,,,,,,19.4%,,,,4.29,,,,
12/1/2013 12:00:00 AM,1/1/2014 12:00:00 AM,24013,HP LaserJet P2035n 010A,10.20.1.10,VNB3K02343,Hewlett-Packard LaserJet P2035n,Hewlett-Packard,Managed,False,False,False,False,30,,10/7/2008 12:00:00 AM,,5/9/2012 1:17:02 PM,CE505A,2300,,,,,,,,,,,25000,550,7,40505,42671,40505,42671,,,,,,,,,,,,,,,,,,,,,5.00,,,,
12/1/2013 12:00:00 AM,1/1/2014 12:00:00 AM,24013,HP LaserJet P2035n 010B,10.20.1.11,CNB9R89248,Hewlett-Packard LaserJet P2035n,Hewlett-Packard,Managed,False,False,False,False,30,,10/7/2008 12:00:00 AM,,5/9/2012 1:17:11 PM,CE505A,2300,,,,,,,,,,,25000,550,7,20162,21272,20162,21272,,,,,,,,,,,,,,,,,63%,,,,0.72,,,,
12/1/2013 12:00:00 AM,1/1/2014 12:00:00 AM,24013,HP LaserJet P2035n 010D,10.20.1.13,CNB9S63249,Hewlett-Packard LaserJet P2035n,Hewlett-Packard,Managed,False,False,False,False,30,,10/7/2008 12:00:00 AM,,5/9/2012 1:17:00 PM,CE505A,2300,,,,,,,,,,,25000,550,7,23004,24018,23004,24018,,,,,,,,,,,,,,,,,75%,,,,3.01,,,,
12/1/2013 12:00:00 AM,1/1/2014 12:00:00 AM,24013,HP LaserJet P2035n 0114,172.21.1.20,CNB9R63880,Hewlett-Packard LaserJet P2035n,Hewlett-Packard,Managed,False,False,False,False,30,,10/7/2008 12:00:00 AM,,10/7/2011 2:18:11 PM,CE505A,2300,,,,,,,,,,,25000,550,7,,,,,,,,,,,,,,,,,,,,,,,,,5.00,,,,
12/1/2013 12:00:00 AM,1/1/2014 12:00:00 AM,24013,HP LaserJet P2035n 018C,10.20.1.140,CNB9T46298,Hewlett-Packard LaserJet P2035n,Hewlett-Packard,Managed,False,False,False,False,30,,10/7/2008 12:00:00 AM,,5/9/2012 1:17:18 PM,CE505A,2300,,,,,,,,,,,25000,550,7,100134,103106,100134,103106,,,,,,,,,,,,,,,,,43%,,,,3.74,,,,
12/1/2013 12:00:00 AM,1/1/2014 12:00:00 AM,24013,HP LaserJet P2035n 018D,10.20.1.141,CNB9T52818,Hewlett-Packard LaserJet P2035n,Hewlett-Packard,Managed,False,False,False,False,30,,10/7/2008 12:00:00 AM,,5/9/2012 1:17:18 PM,CE505A,2300,,,,,,,,,,,25000,550,7,18107,18108,18107,18108,,,,,,,,,,,,,,,,,90%,,,,5.00,,,,
12/1/2013 12:00:00 AM,1/1/2014 12:00:00 AM,24013,HP LaserJet P2035n 01DF,10.0.1.223,CNB9T54631,Hewlett-Packard LaserJet P2035n,Hewlett-Packard,Managed,False,False,False,False,30,,10/7/2008 12:00:00 AM,,9/28/2011 11:03:30 AM,CE505A,2300,,,,,,,,,,,25000,550,7,40424,40642,40424,40642,,,,,,,,,,,,,,,,,3%,,,,3.73,,,,
12/1/2013 12:00:00 AM,1/1/2014 12:00:00 AM,24013,HP LaserJet P2035n 0536,172.20.5.54,CNB9T54161,Hewlett-Packard LaserJet P2035n,Hewlett-Packard,Managed,False,False,False,False,30,,10/7/2008 12:00:00 AM,,8/30/2013 12:57:26 AM,CE505A,2300,,,,,,,,,,,25000,550,7,22257,22533,22257,22533,,,,,,,,,,,,,,,,,64%,,,,4.17,,,,
12/1/2013 12:00:00 AM,1/1/2014 12:00:00 AM,24013,HP LaserJet P2035n 0623,10.0.6.35,CNB9T33093,Hewlett-Packard LaserJet P2035n,Hewlett-Packard,Managed,False,False,False,False,30,,10/7/2008 12:00:00 AM,,9/29/2011 12:38:11 PM,CE505A,2300,,,,,,,,,,,25000,550,7,29128,29822,29128,29822,,,,,,,,,,,,,,,,,4%,,,,8.31,,,,
