StartDate,EndDate,printermodelid,ipaddress,Serialnumber,ModelName,Manufacturer,is_color,is_copier,is_scanner,is_fax,PPM_Black,PPM_Color,DateIntroduction,DateAdoption,DiscoveryDate,BLACK_ProdCodeOEM,BLACK_Yield,BLACK_ProdCostOEM,CYAN_ProdCodeOEM,CYAN_Yield,CYAN_ProdCostOEM,MAGENTA_ProdCodeOEM,MAGENTA_Yield,MAGENTA_ProdCostOEM,YELLOW_ProdCodeOEM,YELLOW_Yield,YELLOW_ProdCostOEM,DUTY_CYCLE,WattsPowerNormal,WattsPowerIdle,StartMeterLife,EndMeterLife,StartMeterBlack,EndMeterBlack,StartMeterColor,EndMeterColor,StartMeterPrintBlack,EndMeterPrintBlack,StartMeterPrintColor,EndMeterPrintColor,StartMeterCopyBlack,EndMeterCopyBlack,StartMeterCopyColor,EndMeterCopyColor,StartMeterScan,EndMeterScan,StartMeterFax,EndMeterFax,TonerLevel_Black,TonerLevel_Cyan,TonerLevel_Magenta,TonerLevel_Yellow
08/01/2011 0:00,09/01/2011 0:00,17676,10.100.1.42,JPEC54600G,Hewlett-Packard Color LaserJet 5550,Hewlett-Packard,TRUE,FALSE,FALSE,FALSE,28,27,10/05/2004 0:00,,6/27/2011 3:04:10 PM,C9730A,13000,225.99,C9731A,12000,315.99,C9733A,12000,315.99,C9732A,12000,315.99,120000,611,93,15617,15643,2221,2223,13397,13420,,,,,,,,,,,,,43%,40%,40%,40%
08/01/2011 0:00,09/01/2011 0:00,6335,10.100.1.31,USEF176872,Hewlett-Packard LaserJet 4000,Hewlett-Packard,FALSE,FALSE,FALSE,FALSE,17,,11/10/1997 0:00,,6/27/2011 3:04:10 PM,C4127X,10000,127,,,,,,,,,,65000,330,18,43074,43139,43074,43139,,,,,,,,,,,,,,,,,,
08/01/2011 0:00,09/01/2011 0:00,14763,10.136.1.39,CNBX119881,Hewlett-Packard LaserJet 4200,Hewlett-Packard,FALSE,FALSE,FALSE,FALSE,33,,11/12/2002 0:00,,6/27/2011 2:57:08 PM,Q1338A,12000,,,,,,,,,,,150000,580,25,,,,,,,,,,,,,,,,,,,15%,,,
08/01/2011 0:00,09/01/2011 0:00,23294,10.143.1.31,CNDX213620,Hewlett-Packard LaserJet P4014,Hewlett-Packard,FALSE,FALSE,FALSE,FALSE,43,,04/08/2008 0:00,,6/27/2011 2:57:08 PM,CC364A,10000,154.99,,,,,,,,,,175000,800,17,,,,,,,,,,,,,,,,,,,6%,,,
08/01/2011 0:00,09/01/2011 0:00,14716,10.100.1.2,2100063000,Oce Imagistics im3510,Oce Imagistics,FALSE,TRUE,TRUE,FALSE,35,,10/14/2002 12:00:00 AM,,6/27/2011 3:04:10 PM,794-3,25000,150,,,,,,,,,,200000,,,664147,664813,664147,664813,,,,,,,,,,,,,,,25%,,,
08/01/2011 0:00,09/01/2011 0:00,14716,10.100.1.28,3050259000,Oce Imagistics im3510,Oce Imagistics,FALSE,TRUE,TRUE,FALSE,35,,10/14/2002 12:00:00 AM,,6/27/2011 3:04:09 PM,794-3,25000,150,,,,,,,,,,200000,,,347425,348697,347425,348697,,,,,,,,,,,,,,,100%,,,
08/01/2011 0:00,09/01/2011 0:00,14717,10.100.1.16,3010260000,Imagistics im4510,Imagistics,FALSE,TRUE,TRUE,FALSE,,,10/14/2002 12:00:00 AM,,7/13/2011 8:47:03 AM,,27000,150,,,,,,,,,,200000,,,180748,181061,180748,181061,,,,,,,,,,,,,,,100%,,,
08/01/2011 0:00,09/01/2011 0:00,14717,10.120.6.42,3070288000,Imagistics im4510,Imagistics,FALSE,TRUE,TRUE,FALSE,,,10/14/2002 12:00:00 AM,,6/27/2011 2:57:08 PM,,27000,150,,,,,,,,,,200000,,,,,,,,,,,,,,,,,,,,,75%,,,
08/01/2011 0:00,09/01/2011 0:00,19659,10.100.1.11,,Konica Minolta bizhub 350,Konica Minolta,FALSE,TRUE,TRUE,FALSE,35,,10/17/2005 12:00:00 AM,,6/27/2011 3:04:10 PM,8938404,17500,,,,,,,,,,,150000,1380,5,104701,107583,104701,107583,,,47140,48673,,,57558,58906,,,,,,,OK,,,
08/01/2011 0:00,09/01/2011 0:00,19659,10.143.1.35,,Konica Minolta bizhub 350,Konica Minolta,FALSE,TRUE,TRUE,FALSE,35,,10/17/2005 12:00:00 AM,,6/27/2011 2:57:08 PM,8938404,17500,,,,,,,,,,,150000,1380,5,,,,,,,,,,,,,,,,,,,OK,,,
