rmsVendorName,rmsReportVersion,clientName,rmsModelId,deviceId,manufacturer,modelName,rawModelName,managementStatus,managementProgram,serialNumber,ipAddress,isColor,isCopier,isScanner,isFax,isDuplex,ppmMono,ppmColor,introductionDate,adoptionDate,oemTonerBlackSku,oemTonerBlackYield,oemTonerBlackCost,oemTonerCyanSku,oemTonerCyanYield,oemTonerCyanCost,oemTonerMagentaSku,oemTonerMagentaYield,oemTonerMagentaCost,oemTonerYellowSku,oemTonerYellowYield,oemTonerYellowCost,dutyCycle,operatingWattage,standbyWattage,sleepWattage,startMeterLife,endMeterLife,startMeterBlack,endMeterBlack,startMeterColor,endMeterColor,startMeterPrintBlack,endMeterPrintBlack,startMeterPrintColor,endMeterPrintColor,startMeterScan,endMeterScan,startMeterFax,endMeterFax,startMeterCopyBlack,endMeterCopyBlack,startMeterCopyColor,endMeterCopyColor,startMeterA3Black,endMeterA3Black,startMeterA3Color,endMeterA3Color,tonerLevelBlack,tonerLevelCyan,tonerLevelMagenta,tonerLevelYellow,canReportTonerLevels,pageCoverageBlack,pageCoverageCyan,pageCoverageMagenta,pageCoverageYellow,discoveryDate,monitorStartDate,monitorEndDate ,lastSeenDate,location
Lexmark,1.0,BunzlDistribution,MX-4110N,1729,Sharp,MX-4110N,MX-4110N,Managed,,2510147700,172.20.13.234,,,,,,,,,,,,,,,,,,,,,,,,,,249972,289192,168492,198628,168492,198628,119321,145244,78832,87496,0,0,0,0,49141,53343,51789,56411,0,0,0,0,100,50,50,75,Yes,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,98,1755,Lexmark,MS310dn,MS310dn,Managed,,451420LM02MZ8,172.20.13.235,,,,,,,,,,,,,,,,,,,,,,,,,,54575,56145,54575,56145,54575,56145,54400,55966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,,,Yes,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,LaserJet P2015 Series,1968,Hewlett-Packard,LaserJet P2015 Series,LaserJet P2015 Series,Managed,,CNBJP40838,172.20.13.247,,,,,,,,,,,,,,,,,,,,,,,,,,214515,217245,214515,217245,214515,217245,214515,217245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,,,,Yes,,,,,07/30/2013,02/21/2015,05/23/2015,04/28/2015,"Boise, ID, USA"
Lexmark,1.0,BunzlDistribution,ZTC ZP 450-200dpi,1443,Zebra Technologies,ZTC ZP 450-200dpi,ZTC ZP 450-200dpi,Managed,,00:11:0A:C3:AA:60,172.20.13.246,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,InfoPrint 6500,1603,Unknown,InfoPrint 6500,InfoPrint 6500,Managed,,01PH824,172.20.13.238,,,,,,,,,,,,,,,,,,,,,,,,,,10305009,10787176,10305009,10787176,10305009,10787176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,IT
Lexmark,1.0,BunzlDistribution,MX-4110N,1730,Sharp,MX-4110N,MX-4110N,Managed,,2510151700,172.20.13.215,,,,,,,,,,,,,,,,,,,,,,,,,,92900,108335,36497,41755,36497,41755,24478,28881,52145,61483,0,0,0,0,12122,12848,16557,17945,0,0,0,0,50,0,50,100,Yes,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,ZTC ZP 450-200dpi,1376,Zebra Technologies,ZTC ZP 450-200dpi,ZTC ZP 450-200dpi,Managed,,00:01:E6:7D:58:6A,172.20.13.211,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,LaserJet 8100 Series,2081,Hewlett-Packard,LaserJet 8100 Series,LaserJet 8100 Series,Managed,,USCF060093,172.20.13.229,,,,,,,,,,,,,,,,,,,,,,,,,,480311,481944,480311,481944,480311,481944,480311,481944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,LaserJet Professional P1606dn,2103,Hewlett-Packard,LaserJet Professional P1606dn,LaserJet Professional P1606dn,Managed,,VNB3G71125,172.20.13.245,,,,,,,,,,,,,,,,,,,,,,,,,,3647,3737,3647,3737,3647,3737,3647,3737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,,,,Yes,,,,,07/30/2013,02/21/2015,05/23/2015,04/09/2015,,
Lexmark,1.0,BunzlDistribution,LaserJet P2015 Series,1967,Hewlett-Packard,LaserJet P2015 Series,LaserJet P2015 Series,Managed,,CNBJP40829,172.20.13.248,,,,,,,,,,,,,,,,,,,,,,,,,,30165,,30165,,30165,,,,,,,,,,,,,,,,,,22,,,,Yes,,,,,07/30/2013,02/21/2015,05/23/2015,12/25/2014,"Boise, ID, USA"
