,Account Name,Sample_2,,,,,,,,,,,,,
,Create Date,Jan 29 2013,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Ignore,Tag,Make,Model,Serial Number,IP Address,MAC Address,Location,Meter Date 1,Total Meter 1,BW Meter 1,Color Meter 1,Meter Date 2,Total Meter 2,BW Meter 2,Color Meter 2
,1E45D465,Hewlett-Packard,Color LaserJet CP1515n,CNC2200715,192.168.160.110,00-23-7D-77-C9-6F,USA/IL/,Jan 25 2013,5866,927,4939,Jun 29 2012,4625,748,3877
,8FB9763A,Hewlett-Packard,Designjet 500 Plus (42 inch wide),SG69RD20D7,10.2.6.161,00-11-0A-F7-8F-19,USA/IL/,,,,,,,,
,E50A1AC3,Xerox,WorkCentre 7556,XKP534723,10.2.6.188,9C-93-4E-02-52-6A,USA/IL/,Jan 28 2013,50156,21135,29021,Mar 19 2012,60,27,33
,14A59512,Zebra,Z4MPlus,,10.25.6.42,00-07-4D-25-E5-D3,USA/IL/,,,,,,,,
,739CC9E7,Zebra,Z4M,,10.2.6.181,00-60-B0-2C-96-EE,USA/IL/,,,,,,,,
,AA1C9D3C,Kyocera,FS-3920DN,XVJ0106209,199.244.34.188,00-C0-EE-49-5A-76,USA/IL/,Jan 25 2013,27319,,,Jun 29 2012,21750,,
,E67C920D,Hewlett-Packard,DesignJet 800PS (42 inch wide),SG62BC203X,199.244.34.231,00-11-0A-C8-11-AB,USA/IL/,,,,,,,,
,5A44ED0F,Xerox,Phaser 3635MFP-S,BB1483765,10.2.6.165,9C-93-4E-0A-B7-64,USA/IL/,Jan 28 2013,2907,2907,,Mar 28 2012,,12,
,5B7A7078,Hewlett-Packard,Centronics Printer/Plotter,,10.2.6.101,00-01-E6-58-B9-CD,USA/IL/,,,,,,,,
,CA07A1B6,Kyocera,FS-C5020N,APD6306612,10.2.6.177,00-C0-EE-56-B8-E7,USA/IL/,Jan 25 2013,111318,,,Jun 29 2012,106018,,
,2A6CFA4E,Zebra,Z4MPlus,,10.25.6.44,00-07-4D-25-E5-CF,USA/IL/,,,,,,,,
,44E2F094,Kyocera,FS-3920DN,XVJ1Y23176,10.25.6.80,00-C0-EE-7E-9E-D2,USA/IL/,Oct 22 2012,6868,,,Jun 29 2012,4385,,
,7DCF3F38,Xerox,ColorQube 9301,XNE128624,10.2.6.163,00-00-AA-DC-B2-BE,USA/IL/,Jan 28 2013,43162,17595,25564,Jun 29 2012,13889,4645,9244
,F443360D,Kyocera,FS-3920DN,XVJ0Y14490,199.244.34.144,00-C0-EE-4A-D8-7E,USA/IL/,Jan 25 2013,8735,,,Jun 29 2012,7017,,
,4F341909,Zebra,Z4MPlus,,10.25.6.43,00-07-4D-25-E5-D0,USA/IL/,,,,,,,,
,8053D295,Kyocera,FS-3920DN,XVJ1618768,10.81.6.5,00-C0-EE-7D-B9-41,USA/IL/,Jan 25 2013,4089,,,Jun 29 2012,2401,,
,A9AF1409,Xerox,WorkCentre 7535,XKK402169,10.2.6.175,9C-93-4E-02-51-1C,USA/IL/,Jan 28 2013,36759,24876,11883,Mar 19 2012,61,28,33
,6E3AC61A,Kyocera,FS-3920DN,XVJ9603054,192.151.80.91,00-C0-EE-48-A4-68,USA/IL/,Jan 25 2013,28225,,,Jun 29 2012,27949,,
,26DF4902,Kyocera,FS-3920DN,XVJ1Z25969,192.168.72.208,00-C0-EE-7E-F5-EF,USA/IL/,Aug 26 2012,3778,,,Jun 29 2012,2080,,
,CFFE7397,Hewlett-Packard,Color LaserJet CP3525,CNCC9DB0J7,10.2.6.186,00-23-7D-91-94-6C,USA/IL/,Dec 17 2012,45031,10205,34826,Jun 29 2012,41643,9283,32360
,E3F51EAC,Hewlett-Packard,Centronics Printer/Plotter,,10.11.33.2,00-40-8C-56-F2-D1,USA/IL/,,,,,,,,
,B6ECED54,Hewlett-Packard,Parallel Printer,,10.11.33.4,00-40-17-8C-6E-12,USA/IL/,Jan 25 2013,0,,,Jun 29 2012,0,,
,BA5FAB35,IBM,PrintNet Enterprise Version 1.1.38.3 3-3-3,,10.25.6.27,00-80-72-09-80-00,USA/IL/,Jan 25 2013,0,,,Jun 29 2012,3691810000,,
,6A2E6DE9,Kyocera,Print System IB-100 Ver 1.1.0,,10.2.6.70,00-C0-EE-14-42-EF,USA/IL/,Jan 25 2013,8996,,,Jun 29 2012,6327,,
,A4178209,Kyocera,FS-3900DN,XPJ6504292,10.2.6.28,00-C0-EE-68-B9-95,USA/IL/,Jan 25 2013,60489,,,Jun 29 2012,54834,,
,F5FE9F01,Kyocera,FS-3900DN,XPJ7917433,192.168.72.197,00-C0-EE-6D-0F-2C,USA/IL/,Jan 25 2013,20285,,,Jun 29 2012,17892,,
,3F1FA0E5,Kyocera,FS-C5300DN,XVG8Z01817,10.2.6.149,00-C0-EE-43-5E-6A,USA/IL/,Jan 25 2013,197879,,,Jun 29 2012,194730,,
,FE9D41CC,Kyocera,FS-3900DN,XPJ6503937,10.2.6.179,00-C0-EE-68-5A-5D,USA/IL/,Jan 25 2013,71291,,,Jun 29 2012,55814,,
